stock,date,price
AMZN,2001-01-30,0.947
AMZN,2001-01-31,0.866
AMZN,2001-02-01,0.813
AMZN,2001-02-02,0.719
AMZN,2001-02-05,0.722
AMZN,2001-02-06,0.791
AMZN,2001-02-07,0.75
AMZN,2001-02-08,0.719
AMZN,2001-02-09,0.669
AMZN,2001-02-12,0.725
AMZN,2001-02-13,0.688
AMZN,2001-02-14,0.722
AMZN,2001-02-15,0.725
AMZN,2001-02-16,0.684
AMZN,2001-02-20,0.625
AMZN,2001-02-21,0.597
AMZN,2001-02-22,0.597
AMZN,2001-02-23,0.591
AMZN,2001-02-26,0.597
AMZN,2001-02-27,0.588
AMZN,2001-02-28,0.509
AMZN,2001-03-01,0.522
AMZN,2001-03-02,0.5
AMZN,2001-03-05,0.631
AMZN,2001-03-06,0.594
AMZN,2001-03-07,0.613
AMZN,2001-03-08,0.584
AMZN,2001-03-09,0.613
AMZN,2001-03-12,0.531
AMZN,2001-03-13,0.55
AMZN,2001-03-14,0.531
AMZN,2001-03-15,0.544
AMZN,2001-03-16,0.55
AMZN,2001-03-19,0.525
AMZN,2001-03-20,0.513
AMZN,2001-03-21,0.5
AMZN,2001-03-22,0.509
AMZN,2001-03-23,0.509
AMZN,2001-03-26,0.547
AMZN,2001-03-27,0.582
AMZN,2001-03-28,0.54
AMZN,2001-03-29,0.5
AMZN,2001-03-30,0.512
AMZN,2001-04-02,0.455
AMZN,2001-04-03,0.432
AMZN,2001-04-04,0.42
AMZN,2001-04-05,0.456
AMZN,2001-04-06,0.419
AMZN,2001-04-09,0.559
AMZN,2001-04-10,0.601
AMZN,2001-04-11,0.666
AMZN,2001-04-12,0.734
AMZN,2001-04-16,0.702
AMZN,2001-04-17,0.737
AMZN,2001-04-18,0.827
AMZN,2001-04-19,0.8
AMZN,2001-04-20,0.789
AMZN,2001-04-23,0.81
AMZN,2001-04-24,0.784
AMZN,2001-04-25,0.805
AMZN,2001-04-26,0.772
AMZN,2001-04-27,0.764
